"group1","group2","p_value","enzID","test","p_adj_method"
"t2","t1",0.0419089699753958,"AA3","pairwise.wilcox.test","Bonferroni"
"t2","t10",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t3","t0",9.31673033471756e-12,"AA3","pairwise.wilcox.test","Bonferroni"
"t3","t1",0.00202713118396658,"AA3","pairwise.wilcox.test","Bonferroni"
"t3","t10",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t3","t2",0.841810761747911,"AA3","pairwise.wilcox.test","Bonferroni"
"t4","t0",4.46650540521767e-33,"AA3","pairwise.wilcox.test","Bonferroni"
"t4","t1",9.21943185663178e-15,"AA3","pairwise.wilcox.test","Bonferroni"
"t4","t10",4.3197803903875e-12,"AA3","pairwise.wilcox.test","Bonferroni"
"t4","t2",1.06681851095026e-17,"AA3","pairwise.wilcox.test","Bonferroni"
"t4","t3",0.000101531190574754,"AA3","pairwise.wilcox.test","Bonferroni"
"t5","t0",9.36263966811875e-11,"AA3","pairwise.wilcox.test","Bonferroni"
"t5","t1",1.93727125132276e-07,"AA3","pairwise.wilcox.test","Bonferroni"
"t5","t10",0.000358995493736079,"AA3","pairwise.wilcox.test","Bonferroni"
"t5","t2",5.86524815082157e-05,"AA3","pairwise.wilcox.test","Bonferroni"
"t5","t3",0.0681055106181444,"AA3","pairwise.wilcox.test","Bonferroni"
"t5","t4",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t6","t0",5.48577523499646e-24,"AA3","pairwise.wilcox.test","Bonferroni"
"t6","t1",2.07049228690648e-11,"AA3","pairwise.wilcox.test","Bonferroni"
"t6","t10",9.27900350694782e-09,"AA3","pairwise.wilcox.test","Bonferroni"
"t6","t2",6.75633960276887e-12,"AA3","pairwise.wilcox.test","Bonferroni"
"t6","t3",0.00246463825910025,"AA3","pairwise.wilcox.test","Bonferroni"
"t6","t4",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t6","t5",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t7","t0",3.20381610854346e-20,"AA3","pairwise.wilcox.test","Bonferroni"
"t7","t1",6.30350018158891e-15,"AA3","pairwise.wilcox.test","Bonferroni"
"t7","t10",6.54599159607634e-09,"AA3","pairwise.wilcox.test","Bonferroni"
"t7","t2",3.96743642519612e-12,"AA3","pairwise.wilcox.test","Bonferroni"
"t7","t3",0.000277663184921211,"AA3","pairwise.wilcox.test","Bonferroni"
"t7","t4",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t7","t5",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t7","t6",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t8","t0",3.72319186097362e-23,"AA3","pairwise.wilcox.test","Bonferroni"
"t8","t1",1.626843264316e-10,"AA3","pairwise.wilcox.test","Bonferroni"
"t8","t10",1.27042917434066e-07,"AA3","pairwise.wilcox.test","Bonferroni"
"t8","t2",1.56880024688821e-10,"AA3","pairwise.wilcox.test","Bonferroni"
"t8","t3",0.0213633532924224,"AA3","pairwise.wilcox.test","Bonferroni"
"t8","t4",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t8","t5",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t8","t6",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t8","t7",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t9","t0",1.73341603525952e-16,"AA3","pairwise.wilcox.test","Bonferroni"
"t9","t1",1.13104989581353e-08,"AA3","pairwise.wilcox.test","Bonferroni"
"t9","t10",0.000173441446735965,"AA3","pairwise.wilcox.test","Bonferroni"
"t9","t2",6.80470825282953e-06,"AA3","pairwise.wilcox.test","Bonferroni"
"t9","t3",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t9","t4",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t9","t5",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t9","t6",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t9","t7",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t9","t8",1,"AA3","pairwise.wilcox.test","Bonferroni"
"t1","t0",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t10","t0",0.00660169147836031,"AA4","pairwise.wilcox.test","Bonferroni"
"t10","t1",0.0178962411371506,"AA4","pairwise.wilcox.test","Bonferroni"
"t2","t0",6.99004259623319e-08,"AA4","pairwise.wilcox.test","Bonferroni"
"t2","t1",2.18516877292694e-05,"AA4","pairwise.wilcox.test","Bonferroni"
"t2","t10",0.302492355907477,"AA4","pairwise.wilcox.test","Bonferroni"
"t3","t0",9.58973839825391e-06,"AA4","pairwise.wilcox.test","Bonferroni"
"t3","t1",2.46494026216033e-05,"AA4","pairwise.wilcox.test","Bonferroni"
"t3","t10",0.0452672389664522,"AA4","pairwise.wilcox.test","Bonferroni"
"t3","t2",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t4","t0",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t4","t1",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t4","t10",0.194695693335364,"AA4","pairwise.wilcox.test","Bonferroni"
"t4","t2",9.08838652776678e-07,"AA4","pairwise.wilcox.test","Bonferroni"
"t4","t3",5.60647329397462e-06,"AA4","pairwise.wilcox.test","Bonferroni"
"t5","t0",0.169462447868257,"AA4","pairwise.wilcox.test","Bonferroni"
"t5","t1",0.108430201672606,"AA4","pairwise.wilcox.test","Bonferroni"
"t5","t10",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t5","t2",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t5","t3",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t5","t4",0.750838581180515,"AA4","pairwise.wilcox.test","Bonferroni"
"t6","t0",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t6","t1",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t6","t10",0.491349875952453,"AA4","pairwise.wilcox.test","Bonferroni"
"t6","t2",1.80618240734197e-05,"AA4","pairwise.wilcox.test","Bonferroni"
"t6","t3",9.98033545628699e-06,"AA4","pairwise.wilcox.test","Bonferroni"
"t6","t4",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t6","t5",0.856210689875675,"AA4","pairwise.wilcox.test","Bonferroni"
"t7","t0",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t7","t1",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t7","t10",0.119053052953251,"AA4","pairwise.wilcox.test","Bonferroni"
"t7","t2",3.72484920376914e-05,"AA4","pairwise.wilcox.test","Bonferroni"
"t7","t3",2.02793436805492e-05,"AA4","pairwise.wilcox.test","Bonferroni"
"t7","t4",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t7","t5",0.437378540449658,"AA4","pairwise.wilcox.test","Bonferroni"
"t7","t6",1,"AA4","pairwise.wilcox.test","Bonferroni"
"t8","t0",0.231239089547235,"AA4","pairwise.wilcox.test","Bonferroni"
