cohort,isolation_source,bin,secondary_cluster,variable,value
PosCtrl,MockCommunity,bins.11.fa,no_cluster,R4,306796.74089
PosCtrl,MockCommunity,bins.12.fa,1011_1,R4,96032.9282120003
PosCtrl,MockCommunity,bins.13.fa,no_cluster,R4,766845.733203336
PosCtrl,MockCommunity,bins.14.fa,no_cluster,R4,206293.57572
PosCtrl,MockCommunity,bins.15.fa,no_cluster,R4,44.0733161373333
PosCtrl,MockCommunity,bins.2.fa,228_1,R4,49344.4592306
PosCtrl,MockCommunity,bins.3.fa,366_1,R4,160.359250304333
PosCtrl,MockCommunity,bins.4.fa,1222_1,R4,191159.329148001
PosCtrl,MockCommunity,bins.5.fa,1010_1,R4,303020.421564667
PosCtrl,MockCommunity,bins.6.fa,no_cluster,R4,1788039.45618001
PosCtrl,MockCommunity,bins.7.fa,no_cluster,R4,311502.076013333
PosCtrl,MockCommunity,bins.8.fa,no_cluster,R4,472445.08627
PosCtrl,MockCommunity,bins.9.fa,1254_1,R4,5351567.54179333
PosCtrl,Protexin,bins.1.fa,no_cluster,R4,3473061.04684334
PosCtrl,Protexin,bins.10.fa,no_cluster,R4,347705.92257
PosCtrl,Protexin,bins.11.fa,289_5,R4,233.905110609867
PosCtrl,Protexin,bins.12.fa,no_cluster,R4,178123.850040667
PosCtrl,Protexin,bins.13.fa,no_cluster,R4,604573.56757
PosCtrl,Protexin,bins.14.fa,no_cluster,R4,2150.40464782233
PosCtrl,Protexin,bins.15.fa,no_cluster,R4,345351.719546666
PosCtrl,Protexin,bins.16.fa,no_cluster,R4,158671.391911
PosCtrl,Protexin,bins.17.fa,no_cluster,R4,141598.096734333
PosCtrl,Protexin,bins.18.fa,619_0,R4,363507.129373
PosCtrl,Protexin,bins.19.fa,no_cluster,R4,2063427.99737
PosCtrl,Protexin,bins.2.fa,no_cluster,R4,877210.489486667
PosCtrl,Protexin,bins.20.fa,no_cluster,R4,717991.49177
PosCtrl,Protexin,bins.3.fa,no_cluster,R4,90161.1043319999
PosCtrl,Protexin,bins.4.fa,no_cluster,R4,602906.916326667
PosCtrl,Protexin,bins.5.fa,no_cluster,R4,715027.63728
PosCtrl,Protexin,bins.6.fa,no_cluster,R4,783101.291723333
PosCtrl,Protexin,bins.7.fa,no_cluster,R4,537556.76865
PosCtrl,Protexin,bins.8.fa,no_cluster,R4,69639.5597533334
PosCtrl,Protexin,bins.9.fa,no_cluster,R4,5018485.95493335
PosCtrl,ColiGuard,bins.1.fa,no_cluster,R4,2577.7639376
PosCtrl,ColiGuard,bins.10.fa,no_cluster,R4,4869006.14106667
PosCtrl,ColiGuard,bins.11.fa,no_cluster,R4,335.138386427068
PosCtrl,ColiGuard,bins.12.fa,no_cluster,R4,1838977.9424
PosCtrl,ColiGuard,bins.13.fa,no_cluster,R4,1255712.98466667
PosCtrl,ColiGuard,bins.2.fa,655_1,R4,20983.2245452733
PosCtrl,ColiGuard,bins.3.fa,no_cluster,R4,282034.028316333
PosCtrl,ColiGuard,bins.4.fa,662_1,R4,523214.485540667
PosCtrl,ColiGuard,bins.5.fa,1254_1,R4,41177.4927119333
PosCtrl,ColiGuard,bins.6.fa,no_cluster,R4,414.643660744734
PosCtrl,ColiGuard,bins.7.fa,1255_2,R4,8174.78100848866
PosCtrl,ColiGuard,bins.8.fa,no_cluster,R4,368.782202542667
PosCtrl,ColiGuard,bins.9.fa,no_cluster,R4,1159300.27556667
PosCtrl,MockCommunity,bins.1.fa,1255_2,R5,1300282.413565
PosCtrl,MockCommunity,bins.10.fa,no_cluster,R5,8.67359972453332
PosCtrl,MockCommunity,bins.11.fa,no_cluster,R5,355833.197393334
PosCtrl,MockCommunity,bins.12.fa,1011_1,R5,258686.837856
PosCtrl,MockCommunity,bins.13.fa,no_cluster,R5,926800.345829999
PosCtrl,MockCommunity,bins.14.fa,no_cluster,R5,248785.755630001
PosCtrl,MockCommunity,bins.15.fa,no_cluster,R5,22.2172189966667
PosCtrl,MockCommunity,bins.2.fa,228_1,R5,74979.3746828667
PosCtrl,MockCommunity,bins.3.fa,366_1,R5,55.5989269657003
PosCtrl,MockCommunity,bins.4.fa,1222_1,R5,381240.354091
PosCtrl,MockCommunity,bins.5.fa,1010_1,R5,834974.405381
PosCtrl,MockCommunity,bins.6.fa,no_cluster,R5,2170165.54182333
PosCtrl,MockCommunity,bins.7.fa,no_cluster,R5,322815.913196666
PosCtrl,MockCommunity,bins.8.fa,no_cluster,R5,575753.680786667
PosCtrl,MockCommunity,bins.9.fa,1254_1,R5,6020860.31573001
PosCtrl,Protexin,bins.1.fa,no_cluster,R5,1387125.23169667
PosCtrl,Protexin,bins.10.fa,no_cluster,R5,226006.847241
PosCtrl,Protexin,bins.11.fa,289_5,R5,124.658209971667
PosCtrl,Protexin,bins.12.fa,no_cluster,R5,190988.040917667
PosCtrl,Protexin,bins.13.fa,no_cluster,R5,377217.473033335
